#﻿Frequency	Permitivity
100	22.652827
200	20.785690
300	20.093176
400	19.714912
500	19.467980
600	19.288743
700	19.149003
800	19.034272
900	18.936314
1000	18.850094
1100	18.772353
1200	18.700890
1300	18.634162
1400	18.571059
1500	18.510761
1600	18.452650
1700	18.396253
1800	18.341202
1900	18.287209
2000	18.234043
2100	18.181519
2200	18.129488
2300	18.077830
2400	18.026444
2500	17.975250
2600	17.924181
2700	17.873182
2800	17.822208
2900	17.771221
3000	17.720192
3100	17.669095
3200	17.617911
3300	17.566623
3400	17.515218
3500	17.463688
3600	17.412023
3700	17.360221
3800	17.308276
3900	17.256187
4000	17.203955
4100	17.151578
4200	17.099060
4300	17.046402
4400	16.993608
4500	16.940682
4600	16.887628
4700	16.834452
4800	16.781158
4900	16.727752
5000	16.674241
5100	16.620629
5200	16.566925
5300	16.513133
5400	16.459261
5500	16.405316
5600	16.351304
5700	16.297233
5800	16.243108
5900	16.188937
6000	16.134727
