#﻿Frequency	Conductivity
100	0.942500
200	0.997820
300	1.038562
400	1.075393
500	1.111569
600	1.148512
700	1.186959
800	1.227330
900	1.269880
1000	1.314766
1100	1.362088
1200	1.411907
1300	1.464257
1400	1.519156
1500	1.576607
1600	1.636605
1700	1.699136
1800	1.764184
1900	1.831725
2000	1.901734
2100	1.974182
2200	2.049040
2300	2.126276
2400	2.205857
2500	2.287749
2600	2.371916
2700	2.458323
2800	2.546935
2900	2.637713
3000	2.730622
3100	2.825625
3200	2.922684
3300	3.021762
3400	3.122821
3500	3.225824
3600	3.330735
3700	3.437514
3800	3.546126
3900	3.656532
4000	3.768697
4100	3.882584
4200	3.998155
4300	4.115374
4400	4.234206
4500	4.354614
4600	4.476563
4700	4.600018
4800	4.724943
4900	4.851303
5000	4.979064
5100	5.108192
5200	5.238652
5300	5.370412
5400	5.503438
5500	5.637697
5600	5.773156
5700	5.909783
5800	6.047547
5900	6.186416
6000	6.326358
