#adrenal gland
#Frequency	Conductivity
100	0.635115
200	0.651912
300	0.669259
400	0.686934
500	0.704834
600	0.722904
700	0.741108
800	0.759420
900	0.777822
1000	0.796301
1100	0.814846
1200	0.833448
1300	0.852102
1400	0.870800
1500	0.889539
1600	0.908314
1700	0.927122
1800	0.945960
1900	0.964825
2000	0.983715
2100	1.002628
2200	1.021562
2300	1.040516
2400	1.059488
2500	1.078476
2600	1.097480
2700	1.116499
2800	1.135531
2900	1.154576
3000	1.173633
3100	1.192701
3200	1.211780
3300	1.230868
3400	1.249965
3500	1.269071
3600	1.288186
3700	1.307307
3800	1.326437
3900	1.345573
4000	1.364715
4100	1.383863
4200	1.403017
4300	1.422177
4400	1.441342
4500	1.460511
4600	1.479685
4700	1.498864
4800	1.518046
4900	1.537232
5000	1.556422
5100	1.575615
5200	1.594812
5300	1.614011
5400	1.633214
5500	1.652419
5600	1.671627
5700	1.690837
5800	1.710049
5900	1.729264
6000	1.748480
