#Frequency	Permitivity
#adrenal gland
100	64.225977
200	62.985979
300	62.229266
400	61.679062
500	61.245013
600	60.885825
700	60.579056
800	60.311111
900	60.073112
1000	59.858936
1100	59.664177
1200	59.485555
1300	59.320564
1400	59.167242
1500	59.024025
1600	58.889647
1700	58.763066
1800	58.643416
1900	58.529968
2000	58.422104
2100	58.319294
2200	58.221080
2300	58.127064
2400	58.036899
2500	57.950279
2600	57.866932
2700	57.786618
2800	57.709122
2900	57.634252
3000	57.561832
3100	57.491708
3200	57.423737
3300	57.357789
3400	57.293746
3500	57.231501
3600	57.170955
3700	57.112017
3800	57.054603
3900	56.998636
4000	56.944045
4100	56.890762
4200	56.838726
4300	56.787880
4400	56.738171
4500	56.689547
4600	56.641964
4700	56.595377
4800	56.549744
4900	56.505028
5000	56.461192
5100	56.418202
5200	56.376025
5300	56.334633
5400	56.293995
5500	56.254084
5600	56.214876
5700	56.176345
5800	56.138469
5900	56.101225
6000	56.064594
