#Frequency	Conductivity
100	0.302979
200	0.331755
300	0.353020
400	0.372795
500	0.392796
600	0.413732
700	0.435952
800	0.459645
900	0.484918
1000	0.511832
1100	0.540418
1200	0.570692
1300	0.602656
1400	0.636306
1500	0.671629
1600	0.708612
1700	0.747235
1800	0.787478
1900	0.829318
2000	0.872733
2100	0.917697
2200	0.964185
2300	1.012171
2400	1.061629
2500	1.112531
2600	1.164851
2700	1.218561
2800	1.273635
2900	1.330044
3000	1.387762
3100	1.446760
3200	1.507012
3300	1.568490
3400	1.631167
3500	1.695017
3600	1.760011
3700	1.826125
3800	1.893330
3900	1.961600
4000	2.030911
4100	2.101234
4200	2.172546
4300	2.244819
4400	2.318030
4500	2.392152
4600	2.467162
4700	2.543035
4800	2.619746
4900	2.697271
5000	2.775588
5100	2.854672
5200	2.934500
5300	3.015050
5400	3.096299
5500	3.178225
5600	3.260805
5700	3.344019
5800	3.427845
5900	3.512261
6000	3.597248
