#bile
#Frequency	Conductivity
100	1.541356
200	1.631274
300	1.669631
400	1.695591
500	1.719648
600	1.745047
700	1.772991
800	1.803989
900	1.838270
1000	1.875941
1100	1.917047
1200	1.961599
1300	2.009595
1400	2.061017
1500	2.115843
1600	2.174049
1700	2.235603
1800	2.300477
1900	2.368636
2000	2.440048
2100	2.514679
2200	2.592495
2300	2.673458
2400	2.757535
2500	2.844689
2600	2.934883
2700	3.028080
2800	3.124244
2900	3.223338
3000	3.325322
3100	3.430160
3200	3.537814
3300	3.648246
3400	3.761416
3500	3.877286
3600	3.995818
3700	4.116973
3800	4.240711
3900	4.366995
4000	4.495783
4100	4.627037
4200	4.760718
4300	4.896787
4400	5.035203
4500	5.175927
4600	5.318920
4700	5.464142
4800	5.611555
4900	5.761117
5000	5.912790
5100	6.066535
5200	6.222312
5300	6.380083
5400	6.539807
5500	6.701446
5600	6.864960
5700	7.030313
5800	7.197463
5900	7.366374
6000	7.537006
