#bile
#Frequency	Permitivity
100	94.958192
200	79.923846
300	74.885713
400	72.784436
500	71.720102
600	71.098628
700	70.694156
800	70.406984
900	70.187891
1000	70.010408
1100	69.859310
1200	69.725355
1300	69.602683
1400	69.487438
1500	69.377005
1600	69.269566
1700	69.163828
1800	69.058855
1900	68.953960
2000	68.848632
2100	68.742486
2200	68.635232
2300	68.526649
2400	68.416569
2500	68.304866
2600	68.191441
2700	68.076225
2800	67.959164
2900	67.840222
3000	67.719374
3100	67.596605
3200	67.471910
3300	67.345288
3400	67.216746
3500	67.086293
3600	66.953944
3700	66.819717
3800	66.683632
3900	66.545710
4000	66.405977
4100	66.264457
4200	66.121179
4300	65.976170
4400	65.829460
4500	65.681079
4600	65.531057
4700	65.379426
4800	65.226217
4900	65.071464
5000	64.915197
5100	64.757451
5200	64.598258
5300	64.437650
5400	64.275661
5500	64.112325
5600	63.947674
5700	63.781742
5800	63.614561
5900	63.446165
6000	63.276586
