#Frequency	Permitivity
100	76.818249
200	68.473845
300	65.650252
400	64.182833
500	63.257248
600	62.602765
700	62.103071
800	61.699773
900	61.360288
1000	61.064985
1100	60.801327
1200	60.560933
1300	60.337989
1400	60.128341
1500	59.928945
1600	59.737520
1700	59.552330
1800	59.372033
1900	59.195574
2000	59.022120
2100	58.851004
2200	58.681686
2300	58.513731
2400	58.346780
2500	58.180543
2600	58.014778
2700	57.849287
2800	57.683906
2900	57.518501
3000	57.352960
3100	57.187193
3200	57.021125
3300	56.854695
3400	56.687856
3500	56.520569
3600	56.352805
3700	56.184542
3800	56.015764
3900	55.846462
4000	55.676630
4100	55.506267
4200	55.335374
4300	55.163959
4400	54.992028
4500	54.819591
4600	54.646662
4700	54.473253
4800	54.299381
4900	54.125061
5000	53.950312
5100	53.775151
5200	53.599599
5300	53.423675
5400	53.247400
5500	53.070793
5600	52.893877
5700	52.716673
5800	52.539202
5900	52.361486
6000	52.183547
