Frequency	Conductivity
100	0.852640
200	0.880781
300	0.910958
400	0.942381
500	0.974677
600	1.007633
700	1.041108
800	1.075005
900	1.109254
1000	1.143800
1100	1.178601
1200	1.213623
1300	1.248840
1400	1.284227
1500	1.319766
1600	1.355440
1700	1.391236
1800	1.427141
1900	1.463145
2000	1.499238
2100	1.535413
2200	1.571662
2300	1.607979
2400	1.644357
2500	1.680793
2600	1.717280
2700	1.753815
2800	1.790393
2900	1.827012
3000	1.863668
3100	1.900358
3200	1.937080
3300	1.973830
3400	2.010606
3500	2.047407
3600	2.084230
3700	2.121074
3800	2.157936
3900	2.194816
4000	2.231711
4100	2.268620
4200	2.305543
4300	2.342477
4400	2.379421
4500	2.416376
4600	2.453338
4700	2.490309
4800	2.527286
4900	2.564268
5000	2.601256
5100	2.638248
5200	2.675244
5300	2.712243
5400	2.749243
5500	2.786246
5600	2.823250
5700	2.860254
5800	2.897258
5900	2.934262
6000	2.971265
