Frequency	Permitivity
100	50.351235
200	48.446799
300	47.224720
400	46.309570
500	45.572695
600	44.953441
700	44.418066
800	43.945748
900	43.522684
1000	43.139228
1100	42.788357
1200	42.464796
1300	42.164474
1400	41.884179
1500	41.621335
1600	41.373839
1700	41.139953
1800	40.918221
1900	40.707413
2000	40.506480
2100	40.314519
2200	40.130747
2300	39.954480
2400	39.785118
2500	39.622132
2600	39.465050
2700	39.313453
2800	39.166966
2900	39.025249
3000	38.887999
3100	38.754938
3200	38.625816
3300	38.500403
3400	38.378490
3500	38.259884
3600	38.144410
3700	38.031905
3800	37.922219
3900	37.815213
4000	37.710758
4100	37.608734
4200	37.509031
4300	37.411545
4400	37.316178
4500	37.222840
4600	37.131446
4700	37.041917
4800	36.954178
4900	36.868158
5000	36.783792
5100	36.701016
5200	36.619772
5300	36.540005
5400	36.461660
5500	36.384690
5600	36.309045
5700	36.234682
5800	36.161558
5900	36.089632
6000	36.018866
